signal,boundaries_found,group
Aggravated Assault,frozenset({'COVID start'}),COVID shock only
Aggravated Battery,frozenset({'COVID start'}),COVID shock only
Arson,frozenset({'COVID start'}),COVID shock only
Criminal Sexual Assault,frozenset({'COVID start'}),COVID shock only
Disorderly Conduct,"frozenset({'COVID start', 'Post-COVID start'})",Both boundaries
Drug Abuse Violations,frozenset({'COVID start'}),COVID shock only
Embezzlement,frozenset({'COVID start'}),COVID shock only
Forgery and Counterfeiting,frozenset({'Post-COVID start'}),Post-COVID shift only
Gambling,"frozenset({'COVID start', 'Post-COVID start'})",Both boundaries
Homicide – 1st or 2nd Degree,frozenset({'COVID start'}),COVID shock only
Involuntary Manslaughter / Reckless Homicide,frozenset({'Post-COVID start'}),Post-COVID shift only
Larceny – Theft,frozenset({'COVID start'}),COVID shock only
Liquor Laws,frozenset({'COVID start'}),COVID shock only
Miscellaneous Non-Index Offenses,frozenset({'Post-COVID start'}),Post-COVID shift only
Motor Vehicle Theft,"frozenset({'COVID start', 'Post-COVID start'})",Both boundaries
PC1,"frozenset({'COVID start', 'Post-COVID start'})",Both boundaries
Prostitution,frozenset({'COVID start'}),COVID shock only
Robbery,"frozenset({'COVID start', 'Post-COVID start'})",Both boundaries
Sex Offense – Criminal Sexual Abuse,frozenset({'COVID start'}),COVID shock only
Simple Assault,frozenset({'COVID start'}),COVID shock only
Simple Battery,frozenset({'COVID start'}),COVID shock only
Vandalism,frozenset({'COVID start'}),COVID shock only
Weapons Violations,frozenset({'COVID start'}),COVID shock only
